Airport Identifier,FBO Name,City,State,0 - Jet A Retail,1 - CAA Price 1-500,2 - CAA Price 501-1000,3 - CAA Price 1001-1500,4 - CAA Price 1501-2000,5 - CAA Price 2001-2500,6 - CAA Price 2501 or more,7 - CAA Price 3501-4500,8 - CAA Price 4501-5500,9 - CAA Price 5501 or more
KGPT,Million Air,Gulfport,MS,8.12,4.86,4.81,4.76,4.76,4.76,4.76,,,
KHKS,Skyport Aviation,Jackson,MS,6.47,4.65,4.55,4.45,4.45,4.45,4.45,,,
KOLV,Memphis Executive Jet Center,Olive Branch,MS,4.00,3.69,3.69,3.69,3.69,3.69,3.69,,,
KPQL,Southern Sky Aviation,Moss Point,MS,6.21,4.64,4.54,4.44,4.32,4.22,4.12,,,
M40,Monroe County Airport,Aberdeen,MS,3.87,3.62,3.57,3.52,3.47,3.42,3.37,,,
KBIL,Edwards Jet Center,Billings,MT,4.75,3.83,3.83,3.78,3.78,3.73,3.73,,,
KBZN,Jet Aviation,Belgrade,MT,6.56,4.49,4.44,4.44,4.38,4.13,4.13,,,
KGTF,Great Falls Jet Center,Great Falls,MT,5.70,4.12,4.09,4.07,4.02,4.02,4.02,,,
KMLS,Miles City Airport,Miles City,MT,5.65,4.14,4.14,4.14,4.14,4.14,4.14,,,
KMSO,Northstar Jet,Missoula,MT,5.79,4.65,4.31,4.21,4.15,4.02,3.94,,,
KSDY,Richland Aviation,Sidney,MT,5.65,4.26,4.21,4.16,4.11,4.06,4.01,,,
KECG,Elizabeth City Regional Airport,Elizabeth City,NC,4.99,4.28,4.28,4.22,4.22,4.17,4.17,,,
KEXX,Fly High Lexington,Lexington,NC,5.15,4.39,4.39,4.39,4.12,4.12,4.12,,,
KGSO,Koury Aviation,Greensboro,NC,6.54,4.23,4.23,4.18,4.18,4.12,4.12,,,
KILM,Aero Center,Wilmington,NC,5.45,4.36,4.20,4.20,4.20,4.20,4.20,,,
KJNX,Johnston Regional Airport,Smithfield,NC,5.36,5.10,5.10,5.10,5.10,5.10,5.10,,,
KOAJ,Skyport Aviation,Richlands,NC,6.30,5.02,4.78,4.67,4.67,4.67,4.67,,,
KRWI,Rocky Mount Wilson Regional Airport,Elm City,NC,5.99,4.80,4.75,4.70,4.64,4.59,4.54,,,
KTTA,Raleigh Executive Jetport,Sanford,NC,5.24,4.28,4.23,4.23,4.16,4.16,4.11,,,
KUKF,Wilkes County Airport,North Wilkesboro,NC,5.12,4.21,4.21,4.21,4.21,4.21,4.21,,,
KBIS,Executive Air Taxi Corporation,Bismarck,ND,5.65,3.59,3.57,3.55,3.51,3.51,3.51,,,
KAFK,Blue Line Aviation,Nebraska City,NE,3.45,3.30,3.30,3.30,3.30,3.30,3.30,,,
KBFF,Classic Aircraft Service,Scottsbluff,NE,5.20,4.05,3.95,3.85,3.75,3.75,3.75,,,
KHSI,Hastings Air,Hastings,NE,4.19,3.33,3.33,3.33,3.33,3.33,3.33,,,
KLBF,Trego-Dugan Aviation,North Platte,NE,5.25,4.37,4.30,4.07,3.87,3.87,3.87,,,
KLNK,Duncan Aviation,Lincoln,NE,6.49,4.68,4.58,4.48,4.48,4.43,4.38,,,
KLCI,Emerson Aviation,Gilford,NH,4.85,4.07,3.97,3.97,3.97,3.97,3.97,,,
KTEB,Signature Aviation West,Teterboro,NJ,8.79,4.73,4.73,4.73,4.73,4.73,4.73,,,
KTTN,FlightServ,Ewing,NJ,7.09,5.22,5.17,5.12,5.07,5.02,4.97,,,
CYQX,Woodward Aviation,Gander,NL,5.07,3.79,3.79,3.79,3.79,3.79,3.79,,,
KABQ,Cutter Aviation,Albuquerque,NM,7.90,4.70,4.65,4.54,4.39,3.76,3.66,,,
KHOB,Christian Aero LLC,Hobbs,NM,5.75,4.83,4.73,4.62,4.62,4.62,4.62,,,
KLRU,Francis Aviation LLC,Las Cruces,NM,6.49,5.04,4.92,4.90,4.78,4.78,4.78,,,
KSAF,Atlantic Aviation,Sante Fe,NM,6.07,5.29,5.18,5.02,4.81,4.81,4.81,,,
MYNN,Jet Nassau,Nassau,NP,6.38,4.53,4.52,4.50,4.18,4.13,4.09,,,
KBVU,Boulder City Aviation Services,Boulder City,NV,5.89,5.02,5.02,5.02,5.02,5.02,5.02,,,
KCXP,"Stellar Aviation of Carson City, LLC",Carson City,NV,6.59,4.49,4.49,4.44,4.44,4.44,4.44,,,
KRNO,Stellar Aviation,Reno,NV,7.77,4.76,4.76,4.76,4.76,4.70,4.64,,,
KFOK,Signature Aviation,Westhampton Beach,NY,8.33,5.51,5.41,5.41,5.30,5.30,5.30,,,
KFRG,Republic Jet Center,Farmingdale,NY,5.03,4.33,4.32,4.19,4.19,4.03,4.03,,,
KHPN,Million Air,White Plains,NY,9.60,5.18,5.18,5.18,5.18,5.18,5.18,,,
KISP,New York Jet,Ronkonkoma,NY,6.10,4.38,4.33,4.17,4.17,4.07,4.07,,,
KROC,Avflight Rochester Corporation,Rochester,NY,6.15,4.64,4.59,4.54,4.54,4.38,4.38,,,
I68,WCA Jet Center,Lebanon,OH,4.99,3.25,3.25,3.25,3.25,3.25,3.25,,,
KCAK,AVFLIGHT-AKRON-CANTON,North Canton,OH,6.40,5.54,5.26,5.09,5.09,5.09,5.09,,,
KCLE,Jets FBO Network,Cleveland,OH,6.73,5.25,5.21,5.21,5.21,5.21,5.21,,,
KCMH,Signature Aviation,Columbus,OH,5.83,4.81,4.81,4.71,4.71,4.58,4.58,,,
KDAY,PremierFBO,Vandalia,OH,4.62,3.62,3.62,3.62,3.62,3.62,3.62,,,
KHZY,Northeast Ohio Regional,Jefferson,OH,6.30,4.86,4.76,4.65,4.54,4.44,4.33,,,
KLUK,Waypoint Aviation,Cincinnati,OH,5.64,4.82,4.82,4.82,4.82,4.82,4.82,,,
KTOL,"GRAND AIRE,INC.",Swanton,OH,6.80,4.15,4.03,3.92,3.81,3.75,3.75,,,
KAVK,Alva Regional Airport,Alva,OK,3.75,3.42,3.42,3.42,3.42,3.42,3.42,,,
KAXS,Altus-Quartz Mountain Regional Airport,Altus,OK,4.50,4.25,4.25,4.25,4.25,4.25,4.25,,,
KGCM,Claremore Regional Airport,Claremore,OK,4.47,3.87,3.77,3.67,3.57,3.47,3.37,,,
